"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/06/2017","ATM Withdrawal","ATM WITHDRAWAL008883  12/0642 BROADW","60.00","debit","Cash & ATM","TOTAL CHECKING","",""
"12/05/2017","Tony's Pizzeria","TONY`S PIZZERIA & R BROOKLYN NY","5.99","debit","Fast Food","Citi Double Cash Card","",""
"12/05/2017","Cafe","CAFE 11 NEW YORK NY","9.25","debit","Restaurants","Citi Double Cash Card","",""
"12/04/2017","ATM Withdrawal","ATM WITHDRAWAL007433  12/0442 BROADW","40.00","debit","Cash & ATM","TOTAL CHECKING","",""
"12/03/2017","Tony's Pizzeria","TONY`S PIZZERIA & R BROOKLYN NY","9.85","debit","Fast Food","Citi Double Cash Card","",""
"12/02/2017","Subway","SUBWAY 03301082 NEW YORK NY","9.53","debit","Fast Food","Citi Double Cash Card","",""
"12/02/2017","Netflix","NETFLIX.COM NETFLIX.COM CA","10.99","debit","Movies & DVDs","Citi Double Cash Card","",""
"12/01/2017","Subway","SUBWAY 03301082 NEW YORK NY","7.35","debit","Fast Food","Citi Double Cash Card","",""
"12/01/2017","GrubHub Seamless","SEAMLSSZATARGRILL 8002561020 NY","12.52","debit","Food & Dining","Citi Double Cash Card","",""
"11/30/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"11/30/2017","Venmo","VENMO            PAYMENT    786535607       WEB ID: 3264681992","2100.00","debit","Transfer","TOTAL CHECKING","",""
"11/30/2017","Quickpay With Zelle","QuickPay with Zelle payment fromBENJAMIN SIY-HIAN 6704354532","1100.00","credit","Credit Card Payment","TOTAL CHECKING","",""
"11/28/2017","Amazon Prime Now","Amazon Prime Now","56.66","debit","Groceries","CHASE AMAZON PRIME","",""
"11/27/2017","GrubHub Seamless","SEAMLSSZATARGRILL 8002561020 NY","12.52","debit","Food & Dining","Citi Double Cash Card","",""
"11/27/2017","Subway","SUBWAY 03301082 NEW YORK NY","8.44","debit","Fast Food","Citi Double Cash Card","",""
"11/27/2017","Duane Reade","DUANE READE #14101 NEW YORK NY","14.68","debit","Pharmacy","Citi Double Cash Card","",""
"11/27/2017","Subway","SUBWAY 03301082 NEW YORK NY","5.33","debit","Fast Food","Citi Double Cash Card","",""
"11/26/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"11/26/2017","Amazon","AMAZON MKTPLACE PMTS","26.99","debit","Shopping","CHASE AMAZON PRIME","",""
"11/26/2017","Amazon","AMAZON MKTPLACE PMTS","97.58","debit","Shopping","CHASE AMAZON PRIME","",""
"11/25/2017","Cafe Plaza Deli","CAFE PLAZA DELI NEW YORK NY","10.56","debit","Restaurants","Citi Double Cash Card","",""
"11/24/2017","Check 403","CHECK 403","75.00","debit","Check","TOTAL CHECKING","",""
"11/24/2017","Fruitti Yummi","FRUITTI YUMMI BROOKLYN NY","4.48","debit","Groceries","Citi Double Cash Card","",""
"11/24/2017","Asos.com","ASOS US SALES LLC WWW.ASOS.COM DE","20.10","debit","Clothing","Citi Double Cash Card","",""
"11/23/2017","Nitehawk Cinema Theatr","NITEHAWK CINEMA THEATR BROOKLYN NY","26.70","debit","Movies & DVDs","Citi Double Cash Card","",""
"11/23/2017","GrubHub Seamless","SEAMLSSMITLAXCALITAME 8002561020 NY","14.71","debit","Food & Dining","Citi Double Cash Card","",""
"11/23/2017","Amazon Prime Now","Amazon Prime Now","47.78","debit","Groceries","CHASE AMAZON PRIME","",""
"11/22/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","8.68","debit","Music","Citi Double Cash Card","",""
"11/22/2017","Domains G Helppay","GOOGLE *Domains g.co/helppay# CA","12.00","debit","Internet","Citi Double Cash Card","",""
"11/22/2017","Gaslog Ltd F","GASLOG LTD F","7.00","credit","Dividend & Cap Gains","Individual","",""
"11/21/2017","Tony's Pizzeria","TONY`S PIZZERIA & R BROOKLYN NY","6.85","debit","Fast Food","Citi Double Cash Card","",""
"11/20/2017","ATM Fee","NON-CHASE ATM WITHDRAW331112  11/19237 IRVIN","1.75","debit","ATM Fee","TOTAL CHECKING","",""
"11/20/2017","ATM Withdrawal","NON-CHASE ATM WITHDRAW331112  11/19237 IRVIN","60.00","debit","Cash & ATM","TOTAL CHECKING","",""
"11/20/2017","Chase Autopay Ppd","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","294.88","debit","Bills & Utilities","TOTAL CHECKING","",""
"11/20/2017","Citi Autopay Ppd","CITI AUTOPAY     PAYMENTPPD ID: CITICARDAP","132.45","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/20/2017","ATM Fee","NON-CHASE ATM FEE-WITH","2.50","debit","ATM Fee","TOTAL CHECKING","",""
"11/20/2017","Cafe","CAFE 11 NEW YORK NY11/16","2.72","debit","Restaurants","TOTAL CHECKING","",""
"11/20/2017","Cafe","CAFE 11 NEW YORK NY11/17","2.72","debit","Restaurants","TOTAL CHECKING","",""
"11/19/2017","Amazon","AMAZON MKTPLACE PMTS","17.99","debit","Shopping","CHASE AMAZON PRIME","",""
"11/19/2017","Dunkin Donuts","DD/BR #331072 Q BROOKLYN NY","9.32","debit","Coffee Shops","Citi Double Cash Card","",""
"11/17/2017","Duane Reade","DUANE READE #14102 NEW YORK NY","57.62","debit","Pharmacy","Citi Double Cash Card","",""
"11/17/2017","Automatic Thank","AUTOMATIC PAYMENT - THANK","294.88","credit","Credit Card Payment","CHASE AMAZON PRIME","",""
"11/17/2017","ATM Withdrawal","ATM WITHDRAWAL000319  11/1742 BROADW","60.00","debit","Cash & ATM","TOTAL CHECKING","",""
"11/17/2017","Autopay Rautopay Auto","AUTOPAY 999990000018805RAUTOPAY AUTO-PMT","132.45","credit","Credit Card Payment","Citi Double Cash Card","",""
"11/16/2017","Chipotle","CHIPOTLE 0476 NEW YORK NY","11.70","debit","Fast Food","Citi Double Cash Card","",""
"11/14/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"11/13/2017","Amazon Prime Now","Amazon Prime Now","60.39","debit","Groceries","CHASE AMAZON PRIME","",""
"11/12/2017","GrubHub Seamless","SEAMLSSHEALTHWAYDELIC 8002561020 NY","11.88","debit","Food & Dining","Citi Double Cash Card","",""
"11/12/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","16.27","debit","Food & Dining","Citi Double Cash Card","",""
"11/11/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","1.08","debit","Music","Citi Double Cash Card","",""
"11/10/2017","Venmo","VENMO            PAYMENT    757287657       WEB ID: 3264681992","8.00","debit","Transfer","TOTAL CHECKING","",""
"11/10/2017","Candy Stop","CANDY STOP NEW YORK NY","2.25","debit","Fast Food","Citi Double Cash Card","",""
"11/10/2017","Cafe","CAFE 11 NEW YORK NY","4.63","debit","Restaurants","Citi Double Cash Card","",""
"11/09/2017","Squ Filicori Wall","SQU*SQ *FILICORI WALL New York NY","4.30","debit","Coffee Shops","Citi Double Cash Card","",""
"11/09/2017","Subway","SUBWAY 03301082 NEW YORK NY","4.63","debit","Fast Food","Citi Double Cash Card","",""
"11/09/2017","Consolidated Edison","CON ED OF NY     INTELL CKPPD ID: 2462467002","83.45","debit","Utilities","TOTAL CHECKING","",""
"11/08/2017","Citicards Cash Reward","CITICARDS CASH   REWARDPPD ID: CITIREWARD","37.39","credit","Income","TOTAL CHECKING","",""
"11/08/2017","Chipotle","CHIPOTLE 0476 NEW YORK NY","9.42","debit","Fast Food","Citi Double Cash Card","",""
"11/07/2017","MTA","MTA MVM*J009-MYRTLEQPS NEW YORK NY","121.00","debit","Public Transportation","Citi Double Cash Card","",""
"11/07/2017","Subway","SUBWAY 03301082 NEW YORK NY","4.63","debit","Fast Food","Citi Double Cash Card","",""
"11/07/2017","Ishares Iboxx High Yieldbond Etf","ISHARES IBOXX HIGH YIELDBOND ETF","4.75","credit","Dividend & Cap Gains","Individual","",""
"11/06/2017","Barclaycard Us Web","BARCLAYCARD US   CREDITCARD 494484329       WEB ID: 2510407970","10742.69","debit","Credit Card Payment","TOTAL CHECKING","",""
"11/06/2017","Subway","SUBWAY 03301082 NEW YORK NY","7.35","debit","Fast Food","Citi Double Cash Card","",""
"11/05/2017","Optimum Ny","OPTIMUM 7836 02038702583 NY","55.38","debit","Internet","Citi Double Cash Card","",""
"11/05/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"11/05/2017","Amazon Prime Now","Amazon Prime Now","46.81","debit","Groceries","CHASE AMAZON PRIME","",""
"11/03/2017","Subway","SUBWAY 03301082 NEW YORK NY","7.35","debit","Fast Food","Citi Double Cash Card","",""
"11/03/2017","Received","Payment Received","10742.69","credit","Credit Card Payment","Barclaycard Arrival Plus","",""
"11/02/2017","Netflix","NETFLIX.COM NETFLIX.COM CA","7.99","debit","Movies & DVDs","Citi Double Cash Card","",""
"11/01/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"11/01/2017","Venmo","VENMO            PAYMENT    742480527       WEB ID: 3264681992","2100.00","debit","Transfer","TOTAL CHECKING","",""
"11/01/2017","Spdr S&p 500 Etf","SPDR S&P 500 ETF","49.13","debit","Investments","Individual","",""
"10/31/2017","Amazon Prime Now","Amazon Prime Now","34.00","debit","Groceries","CHASE AMAZON PRIME","",""
"10/31/2017","Amazon","AMAZON MKTPLACE PMTS","33.78","debit","Shopping","CHASE AMAZON PRIME","",""
"10/31/2017","Tst Gregory Coffee","TST* GREGORY S COFFEE","7.26","debit","Coffee Shops","Barclaycard Arrival Plus","",""
"10/31/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","16.27","debit","Food & Dining","Citi Double Cash Card","",""
"10/31/2017","Spdr S&p 500 Etf","SPDR S&P 500 ETF","49.13","credit","Dividend & Cap Gains","Individual","",""
"10/30/2017","Quickpay With Zelle","QuickPay with Zelle payment fromBENJAMIN SIY-HIAN 6624357607","970.00","credit","Credit Card Payment","TOTAL CHECKING","",""
"10/30/2017","Cafe Exchange","CAFE EXCHANGE NEW YORK NY10/27","4.36","debit","Restaurants","TOTAL CHECKING","",""
"10/27/2017","ATM Withdrawal","ATM WITHDRAWAL003314  10/2742 BROADW","40.00","debit","Cash & ATM","TOTAL CHECKING","",""
"10/26/2017","Cafe","CAFE 11","7.29","debit","Restaurants","Barclaycard Arrival Plus","",""
"10/25/2017","Subway","SUBWAY        03301082","4.63","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/24/2017","Tony's Pizzeria","TONY`S PIZZERIA & R","3.05","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/24/2017","Subway","SUBWAY        03301082","4.63","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/24/2017","Check 508","CHECK 508","75.00","debit","Check","TOTAL CHECKING","",""
"10/23/2017","Cafe","CAFE 11","4.72","debit","Restaurants","Barclaycard Arrival Plus","",""
"10/23/2017","Subway","SUBWAY        03301082","7.35","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/23/2017","Barclaycard Us Web","BARCLAYCARD US   CREDITCARD 485676077       WEB ID: 2510407970","1416.62","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/23/2017","Burger King","BURGER KING #1898  Q07","2.18","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/22/2017","Subway","SUBWAY        03301082","6.80","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/22/2017","GrubHub Seamless","SEAMLSSSUSHINOODLE 8002561020 NY","13.78","debit","Food & Dining","Citi Double Cash Card","",""
"10/22/2017","GrubHub Seamless","SEAMLSSQUEENOFFALAFEL 8002561020 NY","13.78","debit","Food & Dining","Citi Double Cash Card","",""
"10/21/2017","Received","Payment Received","1416.62","credit","Credit Card Payment","Barclaycard Arrival Plus","",""
"10/20/2017","Cafe","CAFE 11","4.72","debit","Restaurants","Barclaycard Arrival Plus","",""
"10/20/2017","Naya Express","NAYA EXPRESS","12.50","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/20/2017","GrubHub Seamless","SEAMLSSPALOMASMEXICAN 8002561020 NY","15.03","debit","Food & Dining","Citi Double Cash Card","",""
"10/20/2017","Foreign Transaction Fee","FOREIGN TRANSACTION FEE","0.29","debit","Service Fee","Citi Double Cash Card","",""
"10/19/2017","Potbelly Sandwich Works","POTBELLY #280","8.98","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/19/2017","Burger King","BURGER KING #1898  Q07","7.93","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/18/2017","Subway","SUBWAY        03301082","7.35","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/18/2017","Duane Reade","DUANE READE #14102","57.62","debit","Pharmacy","Barclaycard Arrival Plus","",""
"10/18/2017","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","8.00","credit","Income","TOTAL CHECKING","",""
"10/18/2017","Citi Autopay Ppd","CITI AUTOPAY     PAYMENTPPD ID: CITICARDAP","3609.26","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/18/2017","Transfer to CHASE AMAZON PRIME","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","188.36","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/17/2017","Subway","SUBWAY        03301082","4.63","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/17/2017","Tony's Pizzeria","TONY`S PIZZERIA & R","3.05","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/17/2017","GrubHub","GRUBHUBPALACEOFINDIA 8775851085 NY","16.22","debit","Food & Dining","Citi Double Cash Card","",""
"10/17/2017","Transfer from TOTAL CHECKING","AUTOMATIC PAYMENT - THANK","188.36","credit","Credit Card Payment","CHASE AMAZON PRIME","",""
"10/17/2017","Autopay Rautopay Auto","AUTOPAY 999990000018805RAUTOPAY AUTO-PMT","3609.26","credit","Credit Card Payment","Citi Double Cash Card","",""
"10/16/2017","Amazon Prime Now","Amazon Prime Now","51.42","debit","Groceries","CHASE AMAZON PRIME","",""
"10/16/2017","Amazon","Amazon.com","101.29","debit","Shopping","CHASE AMAZON PRIME","",""
"10/16/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"10/16/2017","Tst Gregory Coffee","TST* GREGORY S COFFEE","7.55","debit","Coffee Shops","Barclaycard Arrival Plus","",""
"10/13/2017","Chipotle","CHIPOTLE 0476","10.45","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/12/2017","Consolidated Edison","CON ED OF NY     INTELL CKPPD ID: 2462467002","92.08","debit","Utilities","TOTAL CHECKING","",""
"10/12/2017","Subway","SUBWAY        03301082","7.62","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/11/2017","Candy Stop","CANDY STOP","4.75","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/11/2017","Plaza Deli","CAFE PLAZA DELI","16.60","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/11/2017","Ramen Ramen","RAMEN RAMEN","11.98","debit","Restaurants","Barclaycard Arrival Plus","",""
"10/11/2017","Capital One N","CAPITAL ONE N.A. CAPITALONE 000036038107844 WEB ID: 1510394779","5.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"10/10/2017","Subway","SUBWAY        03301082","6.26","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/10/2017","Subway","SUBWAY        03301082","8.44","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/10/2017","ATM Fee","NON-CHASE ATM WITHDRAW805214  10/08930 BROAD","1.75","debit","ATM Fee","TOTAL CHECKING","",""
"10/10/2017","ATM Withdrawal","NON-CHASE ATM WITHDRAW805214  10/08930 BROAD","140.00","debit","Cash & ATM","TOTAL CHECKING","",""
"10/10/2017","ATM Fee","NON-CHASE ATM FEE-WITH","2.50","debit","ATM Fee","TOTAL CHECKING","",""
"10/08/2017","Ops Hrcls Lndy","OPS*HRCLS LNDY 8005265 800-555-1212 NY","25.00","debit","Laundry","Citi Double Cash Card","",""
"10/08/2017","Amazon","AMAZON MKTPLACE PMTS","29.99","credit","Shopping","CHASE AMAZON PRIME","",""
"10/07/2017","Tony's Pizzeria","TONY`S PIZZERIA & R","3.05","debit","Fast Food","Barclaycard Arrival Plus","",""
"10/06/2017","Optimum Ny","OPTIMUM 7836 02038702583 NY","55.38","debit","Internet","Citi Double Cash Card","",""
"10/06/2017","Ishares Iboxx High Yieldbond Etf","ISHARES IBOXX HIGH YIELDBOND ETF","4.75","credit","Dividend & Cap Gains","Individual","",""
"10/05/2017","Quickpay With Zelle","QuickPay with Zelle payment fromMICHELLE BETH RUDASHEVSKI 657173","200.00","credit","Credit Card Payment","TOTAL CHECKING","",""
"10/05/2017","Citicards Cash Reward","CITICARDS CASH   REWARDPPD ID: CITIREWARD","43.43","credit","Income","TOTAL CHECKING","",""
"10/05/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"10/05/2017","Amazon","AMAZON MKTPLACE PMTS","29.99","debit","Shopping","CHASE AMAZON PRIME","",""
"10/04/2017","Amazon Prime Now","Amazon Prime Now","41.26","debit","Groceries","CHASE AMAZON PRIME","",""
"10/02/2017","Netflix","NETFLIX.COM NETFLIX.COM CA","9.99","debit","Movies & DVDs","Citi Double Cash Card","",""
"9/30/2017","Blink Health","BLINK HEALTH","32.60","credit","Credit Card Payment","Barclaycard Arrival Plus","",""
"9/30/2017","Uber.com","UBER   US SEP30 BFUON","8.50","debit","Rental Car & Taxi","Barclaycard Arrival Plus","",""
"9/29/2017","Amazon","AMAZON MKTPLACE PMTS","26.09","debit","Shopping","CHASE AMAZON PRIME","",""
"9/29/2017","Amazon","Amazon.com","34.83","debit","Shopping","CHASE AMAZON PRIME","",""
